RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
394372,140,"Beaumont, TX",msa,TX,175103.0,173144.0,172095.0,170588.0,171924.0,173490.0,173454.0,169944.0,167123.0,170319.0,176972.0,180892.0,183419.0,187521.0,189730.0,191213.0,192091.0,192058.0,191570.0,188222.0,184181.0,181710.0,187042.0,194639.0,194289.0,193016.0,192889.0,191683.0,192166.0,191798.0,194431.0,194975.0,200746.0,214793.0,219439.0,218889.0,210143.0,217271.0,218463.0,220270.0,213894.0,219058.0,222412.0,226978.0,224944.0,226059.0,224994.0,223774.0,227054.0,226026.0,225014.0,215211.0,218242.0,214033.0,218637.0,219986.0,223257.0,223650.0,218623.0,219277.0,215281.0,211224.0,213379.0,214558.0,214174.0,218030.0,222592.0,224452.0,217169.0,216853.0,220556.0,225107.0,228333.0,231676.0
395096,141,"Shreveport, LA",msa,LA,162779.0,164801.0,158443.0,156145.0,151634.0,151787.0,151578.0,156230.0,159029.0,161040.0,160336.0,161816.0,162263.0,165259.0,163440.0,168025.0,168628.0,172355.0,177813.0,179758.0,176574.0,166858.0,163558.0,165375.0,169550.0,174075.0,181276.0,184825.0,184706.0,184297.0,189188.0,195973.0,198042.0,201788.0,205879.0,206640.0,202650.0,199387.0,211638.0,211254.0,213472.0,202356.0,208580.0,206170.0,212615.0,220136.0,223218.0,224172.0,219814.0,217235.0,209593.0,207761.0,205917.0,207828.0,206104.0,208657.0,206346.0,213834.0,216476.0,224003.0,209593.0,200552.0,199515.0,207467.0,211134.0,210578.0,213248.0,221915.0,223960.0,232245.0,224439.0,228783.0,223803.0,233929.0
395164,142,"Trenton, NJ",msa,NJ,285944.0,286817.0,282924.0,283683.0,280062.0,275406.0,281503.0,288140.0,296654.0,294875.0,291625.0,290166.0,293058.0,299485.0,311946.0,316514.0,310836.0,298584.0,299142.0,311812.0,330016.0,329507.0,318573.0,312090.0,307075.0,323461.0,337635.0,360905.0,361864.0,362966.0,358419.0,370812.0,382783.0,389677.0,380845.0,365804.0,364649.0,376508.0,383727.0,391311.0,389487.0,390647.0,393212.0,386854.0,387388.0,386562.0,395639.0,401090.0,401253.0,399695.0,404288.0,398216.0,406764.0,397045.0,402083.0,393914.0,394176.0,409538.0,431167.0,437458.0,446419.0,438472.0,465160.0,453613.0,452338.0,442928.0,438442.0,445088.0,440663.0,463659.0,492410.0,508135.0,507028.0,486393.0
394875,143,"Montgomery, AL",msa,AL,163709.0,167040.0,168268.0,164688.0,165177.0,164795.0,169086.0,166186.0,167601.0,167317.0,166358.0,170995.0,173019.0,178945.0,181112.0,178828.0,175484.0,173937.0,167676.0,168800.0,174807.0,179381.0,187551.0,190153.0,193792.0,199345.0,204264.0,207015.0,198048.0,191739.0,191888.0,197455.0,201882.0,197710.0,203725.0,207776.0,213310.0,211057.0,215470.0,211820.0,208521.0,202544.0,204139.0,204939.0,209905.0,212834.0,212516.0,216932.0,220963.0,226645.0,224696.0,215103.0,207935.0,196682.0,199004.0,200148.0,210788.0,213001.0,217451.0,216637.0,222111.0,225970.0,220889.0,224853.0,212730.0,214776.0,212686.0,221542.0,229231.0,228697.0,227878.0,226625.0,225074.0,228136.0
394520,144,"Davenport, IA",msa,IL,152884.0,156564.0,156107.0,156299.0,151165.0,153396.0,155868.0,163065.0,164422.0,164458.0,164286.0,162348.0,164583.0,163959.0,165157.0,158461.0,155958.0,154968.0,156909.0,158722.0,163602.0,171341.0,168729.0,163695.0,161853.0,168347.0,175024.0,175416.0,174611.0,170375.0,175735.0,178629.0,183885.0,176860.0,176617.0,175784.0,180626.0,182872.0,184239.0,187285.0,190981.0,186619.0,187005.0,184488.0,189831.0,188203.0,188930.0,191553.0,191275.0,187963.0,186429.0,189085.0,192393.0,189968.0,181325.0,176409.0,180848.0,188086.0,191803.0,194997.0,200444.0,205877.0,204089.0,204623.0,202206.0,204203.0,206110.0,212000.0,212041.0,209079.0,206588.0,208271.0,208523.0,212746.0
395146,145,"Tallahassee, FL",msa,FL,199223.0,198867.0,197794.0,205299.0,208364.0,207612.0,197376.0,193973.0,201495.0,206422.0,206298.0,202695.0,201791.0,200692.0,211523.0,214219.0,227799.0,223102.0,230217.0,227832.0,230898.0,224186.0,217935.0,217900.0,218870.0,229126.0,239877.0,248452.0,243197.0,236850.0,232551.0,240139.0,239852.0,239254.0,239271.0,245686.0,254749.0,256672.0,255720.0,254015.0,260676.0,264102.0,262997.0,261412.0,268280.0,274726.0,274989.0,276130.0,278501.0,276446.0,271860.0,272602.0,277597.0,282447.0,280433.0,279714.0,284824.0,294280.0,302590.0,302277.0,303777.0,295242.0,295756.0,296826.0,312521.0,304683.0,303685.0,304055.0,312672.0,320785.0,314611.0,319007.0,312017.0,324194.0
394576,146,"Eugene, OR",msa,OR,300578.0,304036.0,310397.0,311511.0,312911.0,308877.0,313371.0,315299.0,317437.0,314486.0,314690.0,317076.0,324906.0,325667.0,323715.0,320449.0,323544.0,331221.0,339469.0,344947.0,350080.0,343066.0,339076.0,341419.0,353996.0,365558.0,374348.0,378451.0,380636.0,382100.0,385663.0,392762.0,390901.0,394521.0,402131.0,417123.0,427566.0,433445.0,441110.0,443910.0,448547.0,447874.0,457304.0,466230.0,482954.0,491758.0,484908.0,477274.0,468708.0,478849.0,475550.0,474588.0,465312.0,472972.0,468171.0,462793.0,456783.0,469563.0,481268.0,488643.0,489897.0,492447.0,489376.0,486519.0,476850.0,480790.0,479671.0,478031.0,476476.0,470246.0,479406.0,489968.0,494077.0,495326.0
394901,147,"Naples, FL",msa,FL,501621.0,504089.0,510305.0,524075.0,524318.0,534022.0,527157.0,525997.0,521177.0,510408.0,518084.0,504932.0,506221.0,497972.0,494395.0,498340.0,501875.0,523202.0,532627.0,558831.0,533555.0,519149.0,526083.0,566495.0,608178.0,602555.0,623195.0,626248.0,652842.0,630594.0,635742.0,628394.0,653006.0,661704.0,668968.0,684232.0,700370.0,714766.0,712966.0,725201.0,752079.0,752422.0,769955.0,784854.0,833566.0,874132.0,880801.0,867344.0,840796.0,833282.0,843783.0,873464.0,895808.0,926297.0,927295.0,934923.0,925375.0,919069.0,898478.0,901646.0,902986.0,915056.0,913895.0,891101.0,914429.0,921571.0,938680.0,942192.0,930222.0,944022.0,911644.0,905500.0,900103.0,881359.0
394332,148,"Ann Arbor, MI",msa,MI,305759.0,301846.0,300350.0,294551.0,294452.0,295584.0,305020.0,320196.0,323682.0,321382.0,317522.0,312906.0,311139.0,304109.0,312324.0,308448.0,313369.0,308992.0,313750.0,314655.0,318472.0,328631.0,324266.0,320696.0,311460.0,318227.0,327626.0,334810.0,338460.0,333838.0,332537.0,340771.0,359371.0,367621.0,372366.0,365813.0,363910.0,360132.0,357787.0,363599.0,361563.0,355699.0,356920.0,365822.0,390094.0,403249.0,409306.0,411918.0,410845.0,407920.0,399144.0,398342.0,393224.0,385764.0,381669.0,386317.0,406371.0,416918.0,427302.0,421080.0,424671.0,423589.0,427026.0,419987.0,411478.0,412035.0,406258.0,417394.0,418118.0,434815.0,443331.0,455312.0,450788.0,442322.0
394927,149,"Ocala, FL",msa,FL,172915.0,178055.0,186186.0,186097.0,187000.0,186179.0,186527.0,187468.0,184895.0,182817.0,180736.0,180579.0,180116.0,177911.0,179858.0,186387.0,191878.0,192109.0,187617.0,188709.0,189971.0,189023.0,184628.0,186208.0,193955.0,198628.0,203749.0,208334.0,212289.0,213698.0,212580.0,219656.0,228606.0,238851.0,246215.0,250332.0,260433.0,260862.0,263879.0,260093.0,267031.0,272340.0,278983.0,287475.0,295193.0,302245.0,304225.0,305740.0,306203.0,308824.0,308973.0,308377.0,294984.0,281884.0,281796.0,289841.0,304664.0,301816.0,309700.0,307060.0,312623.0,307211.0,316326.0,316585.0,324573.0,317905.0,318257.0,323217.0,331645.0,332910.0,322060.0,317998.0,309428.0,307273.0
